split,scene_name,camera_name,frame_id,
train1,ai_001_001,cam_00,0,
train1,ai_001_001,cam_00,1,
train1,ai_001_001,cam_00,2,
train1,ai_001_001,cam_00,3,
train1,ai_001_001,cam_00,4,
train1,ai_001_001,cam_00,5,
train1,ai_001_001,cam_00,6,
train1,ai_001_001,cam_00,7,
train1,ai_001_001,cam_00,8,
train1,ai_001_001,cam_00,9,
train1,ai_001_001,cam_00,10,
train1,ai_001_001,cam_00,11,
train1,ai_001_001,cam_00,12,
train1,ai_001_001,cam_00,13,
train1,ai_001_001,cam_00,14,
train1,ai_001_001,cam_00,15,
train1,ai_001_001,cam_00,16,
train1,ai_001_001,cam_00,17,
train1,ai_001_001,cam_00,18,
train1,ai_001_001,cam_00,19,
train1,ai_001_001,cam_00,20,
train1,ai_001_001,cam_00,21,
train1,ai_001_001,cam_00,22,
train1,ai_001_001,cam_00,23,
train1,ai_001_001,cam_00,24,
train1,ai_001_001,cam_00,25,
train1,ai_001_001,cam_00,26,
train1,ai_001_001,cam_00,27,
train1,ai_001_001,cam_00,28,
train1,ai_001_001,cam_00,29,
train1,ai_001_001,cam_00,30,
train1,ai_001_001,cam_00,31,
train1,ai_001_001,cam_00,32,
train1,ai_001_001,cam_00,33,
train1,ai_001_001,cam_00,34,
train1,ai_001_001,cam_00,35,
train1,ai_001_001,cam_00,37,
train1,ai_001_001,cam_00,38,
train1,ai_001_001,cam_00,39,
train1,ai_001_001,cam_00,40,
train1,ai_001_001,cam_00,41,
train1,ai_001_001,cam_00,42,
train1,ai_001_001,cam_00,43,
train1,ai_001_001,cam_00,44,
train1,ai_001_001,cam_00,45,
train1,ai_001_001,cam_00,46,
train1,ai_001_001,cam_00,47,
train1,ai_001_001,cam_00,48,
train1,ai_001_001,cam_00,49,
train1,ai_001_001,cam_00,50,
train1,ai_001_001,cam_00,51,
train1,ai_001_001,cam_00,52,
train1,ai_001_001,cam_00,53,
train1,ai_001_001,cam_00,54,
train1,ai_001_001,cam_00,55,
train1,ai_001_001,cam_00,56,
train1,ai_001_001,cam_00,57,
train1,ai_001_001,cam_00,58,
train1,ai_001_001,cam_00,59,
train1,ai_001_001,cam_00,60,
train1,ai_001_001,cam_00,62,
train1,ai_001_001,cam_00,63,
train1,ai_001_001,cam_00,64,
train1,ai_001_001,cam_00,65,
train1,ai_001_001,cam_00,66,
train1,ai_001_001,cam_00,67,
train1,ai_001_001,cam_00,68,
train1,ai_001_001,cam_00,69,
train1,ai_001_001,cam_00,70,
train1,ai_001_001,cam_00,71,
train1,ai_001_001,cam_00,72,
train1,ai_001_001,cam_00,73,
train1,ai_001_001,cam_00,74,
train1,ai_001_001,cam_00,75,
train1,ai_001_001,cam_00,76,
train1,ai_001_001,cam_00,77,
train1,ai_001_001,cam_00,78,
train1,ai_001_001,cam_00,79,
train1,ai_001_001,cam_00,80,
train1,ai_001_001,cam_00,81,
train1,ai_001_001,cam_00,82,
train1,ai_001_001,cam_00,83,
train1,ai_001_001,cam_00,84,
train1,ai_001_001,cam_00,85,
train1,ai_001_001,cam_00,86,
train1,ai_001_001,cam_00,87,
train1,ai_001_001,cam_00,88,
train1,ai_001_001,cam_00,89,
train1,ai_001_001,cam_00,90,
train1,ai_001_001,cam_00,91,
train1,ai_001_001,cam_00,92,
train1,ai_001_001,cam_00,93,
train1,ai_001_001,cam_00,94,
train1,ai_001_001,cam_00,95,
train1,ai_001_001,cam_00,96,
train1,ai_001_001,cam_00,97,
train1,ai_001_001,cam_00,98,
train1,ai_001_001,cam_00,99,
train1,ai_001_002,cam_01,0,
train1,ai_001_002,cam_01,1,
train1,ai_001_002,cam_01,2,
train1,ai_001_002,cam_01,3,
train1,ai_001_002,cam_01,4,
train1,ai_001_002,cam_01,5,
train1,ai_001_002,cam_01,6,
train1,ai_001_002,cam_01,7,
train1,ai_001_002,cam_01,8,
train1,ai_001_002,cam_01,9,
train1,ai_001_002,cam_01,10,
train1,ai_001_002,cam_01,11,
train1,ai_001_002,cam_01,12,
train1,ai_001_002,cam_01,13,
train1,ai_001_002,cam_01,14,
train1,ai_001_002,cam_01,15,
train1,ai_001_002,cam_01,16,
train1,ai_001_002,cam_01,17,
train1,ai_001_002,cam_01,18,
train1,ai_001_002,cam_01,19,
train1,ai_001_002,cam_01,20,
train1,ai_001_002,cam_01,21,
train1,ai_001_002,cam_01,22,
train1,ai_001_002,cam_01,23,
train1,ai_001_002,cam_01,24,
train1,ai_001_002,cam_01,25,
train1,ai_001_002,cam_01,26,
train1,ai_001_002,cam_01,27,
train1,ai_001_002,cam_01,28,
train1,ai_001_002,cam_01,29,
train1,ai_001_002,cam_01,30,
train1,ai_001_002,cam_01,31,
train1,ai_001_002,cam_01,32,
train1,ai_001_002,cam_01,33,
train1,ai_001_002,cam_01,34,
train1,ai_001_002,cam_01,35,
train1,ai_001_002,cam_01,36,
train1,ai_001_002,cam_01,37,
train1,ai_001_002,cam_01,38,
train1,ai_001_002,cam_01,39,
train1,ai_001_002,cam_01,40,
train1,ai_001_002,cam_01,41,
train1,ai_001_002,cam_01,42,
train1,ai_001_002,cam_01,43,
train1,ai_001_002,cam_01,44,
train1,ai_001_002,cam_01,45,
train1,ai_001_002,cam_01,46,
train1,ai_001_002,cam_01,47,
train1,ai_001_002,cam_01,48,
train1,ai_001_002,cam_01,49,
train1,ai_001_002,cam_01,50,
train1,ai_001_002,cam_01,51,
train1,ai_001_002,cam_01,52,
train1,ai_001_002,cam_01,53,
train1,ai_001_002,cam_01,54,
train1,ai_001_002,cam_01,55,
train1,ai_001_002,cam_01,56,
train1,ai_001_002,cam_01,57,
train1,ai_001_002,cam_01,58,
train1,ai_001_002,cam_01,59,
train1,ai_001_002,cam_01,60,
train1,ai_001_002,cam_01,61,
train1,ai_001_002,cam_01,62,
train1,ai_001_002,cam_01,63,
train1,ai_001_002,cam_01,64,
train1,ai_001_002,cam_01,65,
train1,ai_001_002,cam_01,66,
train1,ai_001_002,cam_01,67,
train1,ai_001_002,cam_01,68,
train1,ai_001_002,cam_01,69,
train1,ai_001_002,cam_01,70,
train1,ai_001_002,cam_01,71,
train1,ai_001_002,cam_01,72,
train1,ai_001_002,cam_01,73,
train1,ai_001_002,cam_01,74,
train1,ai_001_002,cam_01,75,
train1,ai_001_002,cam_01,76,
train1,ai_001_002,cam_01,77,
train1,ai_001_002,cam_01,78,
train1,ai_001_002,cam_01,79,
train1,ai_001_002,cam_01,80,
train1,ai_001_002,cam_01,81,
train1,ai_001_002,cam_01,82,
train1,ai_001_002,cam_01,83,
train1,ai_001_002,cam_01,84,
train1,ai_001_002,cam_01,85,
train1,ai_001_002,cam_01,86,
train1,ai_001_002,cam_01,87,
train1,ai_001_002,cam_01,88,
train1,ai_001_002,cam_01,89,
train1,ai_001_002,cam_01,90,
train1,ai_001_002,cam_01,91,
train1,ai_001_002,cam_01,92,
train1,ai_001_002,cam_01,93,
train1,ai_001_002,cam_01,94,
train1,ai_001_002,cam_01,95,
train1,ai_001_002,cam_01,96,
train1,ai_001_002,cam_01,97,
train1,ai_001_002,cam_01,98,
train1,ai_001_002,cam_01,99,
train1,ai_001_003,cam_00,0,
train1,ai_001_003,cam_00,1,
train1,ai_001_003,cam_00,2,
train1,ai_001_003,cam_00,3,
train1,ai_001_003,cam_00,4,
train1,ai_001_003,cam_00,5,
train1,ai_001_003,cam_00,6,
train1,ai_001_003,cam_00,7,
train1,ai_001_003,cam_00,8,
train1,ai_001_003,cam_00,9,
train1,ai_001_003,cam_00,10,
train1,ai_001_003,cam_00,11,
train1,ai_001_003,cam_00,12,
train1,ai_001_003,cam_00,13,
train1,ai_001_003,cam_00,14,
train1,ai_001_003,cam_00,15,
train1,ai_001_003,cam_00,16,
train1,ai_001_003,cam_00,17,
train1,ai_001_003,cam_00,18,
train1,ai_001_003,cam_00,19,
train1,ai_001_003,cam_00,20,
train1,ai_001_003,cam_00,21,
train1,ai_001_003,cam_00,22,
train1,ai_001_003,cam_00,23,
train1,ai_001_003,cam_00,24,
train1,ai_001_003,cam_00,25,
train1,ai_001_003,cam_00,26,
train1,ai_001_003,cam_00,27,
train1,ai_001_003,cam_00,28,
train1,ai_001_003,cam_00,29,
train1,ai_001_003,cam_00,30,
train1,ai_001_003,cam_00,31,
train1,ai_001_003,cam_00,32,
train1,ai_001_003,cam_00,33,
train1,ai_001_003,cam_00,34,
train1,ai_001_003,cam_00,35,
train1,ai_001_003,cam_00,36,
train1,ai_001_003,cam_00,37,
train1,ai_001_003,cam_00,38,
train1,ai_001_003,cam_00,39,
train1,ai_001_003,cam_00,40,
train1,ai_001_003,cam_00,41,
train1,ai_001_003,cam_00,42,
train1,ai_001_003,cam_00,43,
train1,ai_001_003,cam_00,44,
train1,ai_001_003,cam_00,45,
train1,ai_001_003,cam_00,46,
train1,ai_001_003,cam_00,47,
train1,ai_001_003,cam_00,48,
train1,ai_001_003,cam_00,49,
train1,ai_001_003,cam_00,50,
train1,ai_001_003,cam_00,51,
train1,ai_001_003,cam_00,52,
train1,ai_001_003,cam_00,53,
train1,ai_001_003,cam_00,54,
train1,ai_001_003,cam_00,55,
train1,ai_001_003,cam_00,56,
train1,ai_001_003,cam_00,57,
train1,ai_001_003,cam_00,58,
train1,ai_001_003,cam_00,59,
train1,ai_001_003,cam_00,60,
train1,ai_001_003,cam_00,61,
train1,ai_001_003,cam_00,62,
train1,ai_001_003,cam_00,63,
train1,ai_001_003,cam_00,64,
train1,ai_001_003,cam_00,65,
train1,ai_001_003,cam_00,66,
train1,ai_001_003,cam_00,67,
train1,ai_001_003,cam_00,68,
train1,ai_001_003,cam_00,69,
train1,ai_001_003,cam_00,70,
train1,ai_001_003,cam_00,71,
train1,ai_001_003,cam_00,72,
train1,ai_001_003,cam_00,73,
train1,ai_001_003,cam_00,74,
train1,ai_001_003,cam_00,75,
train1,ai_001_003,cam_00,76,
train1,ai_001_003,cam_00,77,
train1,ai_001_003,cam_00,78,
train1,ai_001_003,cam_00,79,
