scene_name,camera_name,frame_id,included_in_public_release,exclude_reason,split_partition_name
ai_001_001,cam_00,0,TRUE,,train
ai_001_001,cam_00,1,TRUE,,train
ai_001_001,cam_00,2,TRUE,,train
ai_001_001,cam_00,3,TRUE,,train
ai_001_001,cam_00,4,TRUE,,train
ai_001_001,cam_00,5,TRUE,,train
ai_001_001,cam_00,6,TRUE,,train
ai_001_001,cam_00,7,TRUE,,train
ai_001_001,cam_00,8,TRUE,,train
ai_001_001,cam_00,9,TRUE,,train
ai_001_001,cam_00,10,TRUE,,train
ai_001_001,cam_00,11,TRUE,,train
ai_001_001,cam_00,12,TRUE,,train
ai_001_001,cam_00,13,TRUE,,train
ai_001_001,cam_00,14,TRUE,,train
ai_001_001,cam_00,15,TRUE,,train
ai_001_001,cam_00,16,TRUE,,train
ai_001_001,cam_00,17,TRUE,,train
ai_001_001,cam_00,18,TRUE,,train
ai_001_001,cam_00,19,TRUE,,train
ai_001_001,cam_00,20,TRUE,,train
ai_001_001,cam_00,21,TRUE,,train
ai_001_001,cam_00,22,TRUE,,train
ai_001_001,cam_00,23,TRUE,,train
ai_001_001,cam_00,24,TRUE,,train
ai_001_001,cam_00,25,TRUE,,train
ai_001_001,cam_00,26,TRUE,,train
ai_001_001,cam_00,27,TRUE,,train
ai_001_001,cam_00,28,TRUE,,train
ai_001_001,cam_00,29,TRUE,,train
ai_001_001,cam_00,30,TRUE,,train
ai_001_001,cam_00,31,TRUE,,train
ai_001_001,cam_00,32,TRUE,,train
ai_001_001,cam_00,33,TRUE,,train
ai_001_001,cam_00,34,TRUE,,train
ai_001_001,cam_00,35,TRUE,,train
ai_001_001,cam_00,36,FALSE,CONTENT FLAGGED FOR REMOVAL,
ai_001_001,cam_00,37,TRUE,,train
ai_001_001,cam_00,38,TRUE,,train
ai_001_001,cam_00,39,TRUE,,train
ai_001_001,cam_00,40,TRUE,,train
ai_001_001,cam_00,41,TRUE,,train
ai_001_001,cam_00,42,TRUE,,train
ai_001_001,cam_00,43,TRUE,,train
ai_001_001,cam_00,44,TRUE,,train
ai_001_001,cam_00,45,TRUE,,train
ai_001_001,cam_00,46,TRUE,,train
ai_001_001,cam_00,47,TRUE,,train
ai_001_001,cam_00,48,TRUE,,train
ai_001_001,cam_00,49,TRUE,,train
ai_001_001,cam_00,50,TRUE,,train
ai_001_001,cam_00,51,TRUE,,train
ai_001_001,cam_00,52,TRUE,,train
ai_001_001,cam_00,53,TRUE,,train
ai_001_001,cam_00,54,TRUE,,train
ai_001_001,cam_00,55,TRUE,,train
ai_001_001,cam_00,56,TRUE,,train
ai_001_001,cam_00,57,TRUE,,train
ai_001_001,cam_00,58,TRUE,,train
ai_001_001,cam_00,59,TRUE,,train
ai_001_001,cam_00,60,TRUE,,train
ai_001_001,cam_00,61,FALSE,CONTENT FLAGGED FOR REMOVAL,
ai_001_001,cam_00,62,TRUE,,train
ai_001_001,cam_00,63,TRUE,,train
ai_001_001,cam_00,64,TRUE,,train
ai_001_001,cam_00,65,TRUE,,train
ai_001_001,cam_00,66,TRUE,,train
ai_001_001,cam_00,67,TRUE,,train
ai_001_001,cam_00,68,TRUE,,train
ai_001_001,cam_00,69,TRUE,,train
